,edit_count,sentiment,neg_sentiment
2019-10-19,0.6666666666666666,-0.011810254322157957,0.36666666666666664
2019-10-20,0.6666666666666666,-0.011810254322157957,0.36666666666666664
2019-10-21,0.7,-0.04442359930939144,0.4
2019-10-22,0.6666666666666666,-0.077746255464024,0.4
2019-10-23,0.6,-0.044445677863226986,0.3333333333333333
2019-10-24,0.5,-0.052212856478161276,0.3
2019-10-25,0.5,-0.052212856478161276,0.3
2019-10-26,0.5,-0.052212856478161276,0.3
2019-10-27,0.43333333333333335,-0.08400188114908005,0.3
2019-10-28,0.43333333333333335,-0.08400188114908005,0.3
2019-10-29,0.43333333333333335,-0.08400188114908005,0.3
2019-10-30,0.43333333333333335,-0.08400188114908005,0.3
2019-10-31,0.43333333333333335,-0.08400188114908005,0.3
2019-11-01,0.43333333333333335,-0.08400188114908005,0.3
2019-11-02,0.43333333333333335,-0.08400188114908005,0.3
2019-11-03,0.43333333333333335,-0.08400188114908005,0.3
2019-11-04,0.43333333333333335,-0.08400188114908005,0.3
2019-11-05,0.6666666666666666,-0.1012595650506398,0.4666666666666667
2019-11-06,1.1,-0.1343467879018795,0.9
2019-11-07,1.1,-0.1343467879018795,0.9
2019-11-08,1.4,-0.15964450471373073,1.1666666666666667
2019-11-09,1.4,-0.15964450471373073,1.1666666666666667
2019-11-10,1.4333333333333333,-0.19292489720157455,1.2
2019-11-11,1.5333333333333334,-0.19371224177650284,1.3
2019-11-12,1.3333333333333333,-0.1803332355231544,1.1666666666666667
2019-11-13,1.3333333333333333,-0.1803332355231544,1.1666666666666667
2019-11-14,1.3333333333333333,-0.1803332355231544,1.1666666666666667
2019-11-15,1.1666666666666667,-0.17445658948128429,1.0666666666666667
2019-11-16,1.1666666666666667,-0.17445658948128429,1.0666666666666667
2019-11-17,1.1666666666666667,-0.17445658948128429,1.0666666666666667
2019-11-18,1.1666666666666667,-0.17445658948128429,1.0666666666666667
2019-11-19,1.1666666666666667,-0.17445658948128429,1.0666666666666667
2019-11-20,1.2333333333333334,-0.15506002147434492,1.1
2019-11-21,1.2333333333333334,-0.15506002147434492,1.1
2019-11-22,1.2666666666666666,-0.1805509690387879,1.1333333333333333
